,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,teacapan,MX,22.55,-105.75,293.81,84,0,1.61,clear sky
358,hualmay,PE,-11.0964,-77.6139,290.61,89,100,3.44,overcast clouds
359,kiama,AU,-34.6833,150.8667,292.18,58,34,6.95,scattered clouds
360,cockburn town,TC,21.4612,-71.1419,300.69,71,6,8.1,clear sky
361,hemnesberget,NO,66.2333,13.6333,275.15,24,8,3.51,clear sky
362,pasni,PK,25.2631,63.471,302.29,38,4,2.01,clear sky
363,buraydah,SA,26.326,43.975,294.4,26,100,4.36,overcast clouds
364,micheweni,TZ,-4.9667,39.8333,300.5,74,27,1.62,light rain
365,benguela,AO,-12.5763,13.4055,298.02,70,39,1.55,scattered clouds
366,morganton,US,35.7454,-81.6848,277.31,56,0,4.47,clear sky
367,saldanha,ZA,-33.0117,17.9442,292.18,65,100,7.3,overcast clouds
368,estelle,US,29.8458,-90.1067,284.15,60,20,4.12,few clouds
369,nouakchott,MR,18.0858,-15.9785,295.11,37,68,5.34,broken clouds
370,katsuura,JP,35.1333,140.3,288.41,66,100,6.0,overcast clouds
371,lishu,CN,43.3047,124.3278,278.52,90,3,5.21,clear sky
372,sri aman,MY,1.2376,111.4621,301.18,89,40,1.54,light rain
373,aykino,RU,62.2248,49.9922,261.06,85,6,1.46,clear sky
374,zhanaozen,KZ,43.3,52.8,280.28,56,100,9.92,overcast clouds
375,lynchburg,US,37.4138,-79.1423,277.86,52,75,1.54,broken clouds
376,pascagoula,US,30.3658,-88.5561,281.18,84,0,3.09,clear sky
377,olinda,BR,-8.0089,-34.8553,297.0,83,100,1.03,overcast clouds
378,batticaloa,LK,7.7102,81.6924,300.5,65,100,6.66,overcast clouds
379,tromso,NO,69.6496,18.957,272.25,86,0,1.54,clear sky
380,jagdalpur,IN,19.0667,82.0333,299.61,29,41,3.16,scattered clouds
381,husavik,IS,66.0449,-17.3389,280.61,80,100,11.03,overcast clouds
382,zabaykalsk,RU,49.6333,117.3167,271.85,76,8,8.31,clear sky
383,celestun,MX,20.8667,-90.4,297.46,86,32,4.62,scattered clouds
384,oranjemund,NA,-28.55,16.4333,291.22,64,42,5.54,scattered clouds
385,energetik,RU,51.7445,58.7934,269.21,85,98,3.08,overcast clouds
386,tamandare,BR,-8.7597,-35.1047,297.44,84,88,3.15,overcast clouds
387,yining,CN,29.0361,114.5636,290.74,70,95,0.26,overcast clouds
388,tilichiki,RU,60.4667,166.1,258.83,97,43,2.47,scattered clouds
389,bonthe,SL,7.5264,-12.505,296.19,85,55,2.08,broken clouds
390,denpasar,ID,-8.65,115.2167,303.96,79,20,5.14,few clouds
391,tura,IN,25.5198,90.2201,298.33,48,0,1.38,clear sky
392,hammerfest,NO,70.6634,23.6821,276.4,65,0,2.57,clear sky
393,faanui,PF,-16.4833,-151.75,299.73,70,99,0.59,overcast clouds
394,salair,RU,54.2312,85.7972,266.79,87,100,7.22,light snow
395,araouane,ML,18.9048,-3.5265,292.66,16,93,4.78,overcast clouds
396,gao,ML,16.6362,1.637,292.52,20,18,5.31,few clouds
397,ippy,CF,6.2679,21.2247,299.29,45,91,1.85,overcast clouds
398,porto novo,BJ,6.4965,2.6036,299.05,82,99,1.1,light rain
399,barra patuca,HN,15.8,-84.2833,298.48,87,29,3.34,moderate rain
400,severomuysk,RU,56.1481,113.4267,263.81,93,90,1.64,overcast clouds
401,kailua,US,21.4022,-157.7394,298.14,65,40,3.09,scattered clouds
402,santa rosa,PH,14.3122,121.1114,305.42,72,88,5.35,overcast clouds
403,baruun-urt,MN,46.6806,113.2792,276.96,25,2,2.95,clear sky
404,nhulunbuy,AU,-12.2333,136.7667,303.49,74,75,3.09,broken clouds
405,dir,PK,35.2058,71.8756,287.4,20,0,1.38,clear sky
406,north platte,US,41.1239,-100.7654,273.77,77,100,2.68,overcast clouds
407,balkanabat,TM,39.5108,54.3671,289.88,34,70,2.4,broken clouds
408,batagay-alyta,RU,67.8006,130.4114,240.33,93,91,0.65,overcast clouds
409,cartago,CO,4.7464,-75.9117,291.99,99,100,0.51,overcast clouds
410,leshukonskoye,RU,64.8989,45.7622,258.56,97,94,2.28,overcast clouds
411,boyuibe,BO,-20.4167,-63.2833,292.76,53,30,2.09,scattered clouds
412,vieux fort,LC,13.7167,-60.95,299.6,85,89,6.99,overcast clouds
413,digoin,FR,46.4812,3.9795,286.2,62,75,4.12,broken clouds
414,zherdevka,RU,51.8486,41.4606,272.0,94,100,2.89,light snow
415,jackson,US,42.4165,-122.8345,278.17,66,0,0.0,clear sky
416,ancud,CL,-41.8697,-73.8203,286.61,90,94,2.94,overcast clouds
417,qasigiannguit,GL,68.8193,-51.1922,265.29,90,100,1.59,overcast clouds
418,viedma,AR,-40.8135,-62.9967,286.13,68,4,4.09,clear sky
419,tautira,PF,-17.7333,-149.15,298.57,79,99,1.97,overcast clouds
420,maneromango,TZ,-7.1988,38.7848,300.82,61,45,2.15,light rain
421,bandarbeyla,SO,9.4942,50.8122,300.88,63,15,7.32,few clouds
422,moerai,PF,-22.4333,-151.3333,294.84,67,81,3.31,broken clouds
423,nuevo imperial,PE,-13.0754,-76.3172,290.65,87,100,1.39,overcast clouds
424,puerto leguizamo,CO,-0.1934,-74.7819,294.19,99,100,1.02,overcast clouds
425,garden city,US,42.3256,-83.331,275.12,83,100,3.6,overcast clouds
426,saint-georges,GD,12.0564,-61.7485,297.97,94,75,9.26,light rain
427,akyab,MM,20.15,92.9,301.73,53,0,2.74,clear sky
428,ballina,AU,-28.8667,153.5667,293.58,59,0,4.52,clear sky
429,thaton,MM,16.9206,97.3714,304.99,58,83,1.48,light rain
430,sao filipe,CV,14.8961,-24.4956,298.28,67,7,1.41,clear sky
431,esna,EG,25.2934,32.554,293.92,38,100,4.8,overcast clouds
432,kokopo,PG,-4.352,152.2633,301.95,67,100,2.04,overcast clouds
433,richards bay,ZA,-28.783,32.0377,296.42,82,100,2.15,overcast clouds
434,khatanga,RU,71.9667,102.5,239.88,100,96,3.28,overcast clouds
435,keetmanshoop,NA,-26.5833,18.1333,296.35,25,5,2.29,clear sky
436,arica,CL,-18.475,-70.3042,289.28,72,0,0.51,clear sky
437,sorong,ID,-0.8833,131.25,301.53,80,100,2.61,light rain
438,omboue,GA,-1.5746,9.2618,296.79,93,100,3.22,moderate rain
439,kikuyu,KE,-1.2458,36.6633,287.97,88,100,0.0,light rain
440,saint-augustin,CA,51.226,-58.6502,269.43,92,100,4.99,light snow
441,rio claro,BR,-22.4114,-47.5614,288.91,60,0,2.22,clear sky
442,medina del campo,ES,41.3124,-4.9141,286.93,89,100,8.92,overcast clouds
443,ostrovnoy,RU,68.0531,39.5131,272.95,91,99,9.07,overcast clouds
444,esfarayen,IR,37.0765,57.5101,285.96,28,5,3.51,clear sky
445,bouar,CF,5.934,15.596,297.67,43,5,2.05,clear sky
446,gbadolite,CD,4.2833,21.0167,298.37,65,100,1.17,overcast clouds
447,ratnagiri,IN,16.9833,73.3,303.8,35,0,1.9,clear sky
448,fairbanks,US,64.8378,-147.7164,262.37,86,0,0.0,clear sky
449,komsomolskiy,UZ,40.4272,71.7189,279.55,65,18,3.09,few clouds
450,taoudenni,ML,22.6783,-3.9836,293.6,20,0,2.98,clear sky
451,kalmunai,LK,7.4167,81.8167,300.84,64,100,6.76,overcast clouds
452,kumluca,TR,36.3703,30.2869,291.06,61,9,0.41,clear sky
453,santa maria da vitoria,BR,-13.3947,-44.1886,293.45,97,100,0.65,overcast clouds
454,kaoma,ZM,-14.7833,24.8,300.0,51,9,1.68,clear sky
455,colinas,BR,-6.0258,-44.2492,294.96,74,4,0.78,clear sky
456,evensk,RU,61.95,159.2333,253.02,87,42,4.54,scattered clouds
457,camacha,PT,33.0833,-16.3333,291.83,88,40,4.12,scattered clouds
458,ndele,CF,8.4109,20.6473,299.85,31,100,2.43,overcast clouds
459,hofn,IS,64.2539,-15.2082,281.36,89,100,9.65,overcast clouds
460,zhangye,CN,38.9342,100.4517,280.37,19,21,9.64,few clouds
461,ariquemes,BR,-9.9133,-63.0408,294.9,94,94,0.35,overcast clouds
462,saint anthony,US,45.0205,-93.218,267.96,89,100,3.09,mist
463,broken hill,AU,-31.95,141.4333,293.43,27,0,3.29,clear sky
464,borehamwood,GB,51.6547,-0.2776,282.24,96,100,8.75,moderate rain
465,dauriya,RU,49.9333,116.8667,272.11,75,6,6.51,clear sky
466,bilma,NE,18.6853,12.9164,292.68,25,76,2.71,broken clouds
467,muros,ES,42.7762,-9.0603,288.2,84,100,8.02,overcast clouds
468,el estor,GT,15.5333,-89.35,294.61,96,10,1.13,light rain
469,vao,NC,-22.6667,167.4833,297.79,83,100,4.1,overcast clouds
470,coihaique,CL,-45.5752,-72.0662,283.12,87,100,3.6,light rain
471,zhezkazgan,KZ,47.8043,67.7144,268.14,86,100,3.0,overcast clouds
472,jeremie,HT,18.65,-74.1167,298.8,83,23,1.04,few clouds
473,launceston,AU,-41.45,147.1667,290.95,51,40,2.57,scattered clouds
474,dafeng,CN,23.4517,108.5881,295.36,87,93,1.8,overcast clouds
475,autazes,BR,-3.5797,-59.1306,298.57,78,100,0.96,overcast clouds
476,soyo,AO,-6.1349,12.3689,297.83,80,99,3.72,overcast clouds
477,harlingen,US,26.1906,-97.6961,282.56,92,100,6.69,overcast clouds
478,srednekolymsk,RU,67.45,153.6833,253.0,99,100,1.82,light snow
479,conselheiro lafaiete,BR,-20.6603,-43.7861,286.53,97,76,1.41,broken clouds
480,visby,SE,57.6409,18.296,277.07,93,75,3.09,broken clouds
481,college,US,64.8569,-147.8028,262.36,87,0,0.0,clear sky
482,talnakh,RU,69.4865,88.3972,243.26,99,100,3.32,overcast clouds
483,kigoma,TZ,-4.8769,29.6267,297.48,78,75,4.12,broken clouds
484,vitim,RU,59.4511,112.5578,272.93,94,100,5.27,light snow
485,sfantu gheorghe,RO,45.8667,25.7833,282.74,53,100,0.27,light rain
486,miranda,CO,3.2499,-76.2281,292.22,94,100,1.34,overcast clouds
487,humaita,BR,-7.5061,-63.0208,295.84,96,100,0.28,overcast clouds
488,port-gentil,GA,-0.7193,8.7815,297.29,92,99,4.83,heavy intensity rain
489,zyryanka,RU,65.75,150.85,250.16,99,100,3.45,light snow
490,bulawayo,ZW,-20.15,28.5833,299.84,25,0,2.68,clear sky
491,beisfjord,NO,68.3751,17.5988,273.73,33,59,3.9,broken clouds
492,bethel,US,41.3712,-73.414,276.32,74,0,2.57,clear sky
493,bungu,TZ,-7.6337,39.0582,303.76,51,40,2.59,scattered clouds
494,belyy yar,RU,53.6039,91.3903,272.09,48,0,9.0,clear sky
495,ho chi minh city,VN,10.75,106.6667,306.16,58,75,3.6,broken clouds
496,bud,US,39.447,-86.1758,272.54,83,100,5.72,overcast clouds
497,mehamn,NO,71.0357,27.8492,280.1,81,75,4.63,light intensity drizzle
498,turukhansk,RU,65.8167,87.9833,238.53,99,91,1.42,overcast clouds
499,vila,PT,42.0304,-8.1588,281.64,95,100,3.88,overcast clouds
500,constantine,DZ,36.365,6.6147,286.82,76,75,3.09,broken clouds
501,banda aceh,ID,5.5577,95.3222,302.91,65,72,7.39,broken clouds
502,winnemucca,US,40.973,-117.7357,267.18,73,0,3.09,clear sky
503,cascais,PT,38.6979,-9.4215,292.56,99,94,8.05,overcast clouds
504,nador,MA,35.174,-2.9287,293.29,83,75,1.54,broken clouds
505,namtsy,RU,62.7161,129.6658,243.52,94,100,3.41,overcast clouds
506,djambala,CG,-2.5447,14.7533,292.26,96,100,1.54,light rain
507,kuryk,KZ,43.2,51.65,282.66,59,100,10.94,overcast clouds
508,grojec,PL,51.8625,20.8676,275.57,77,11,5.44,few clouds
509,elos,GR,36.8327,22.6983,291.06,70,26,0.66,scattered clouds
510,talara,PE,-4.5772,-81.2719,292.56,78,100,6.31,overcast clouds
511,grand gaube,MU,-20.0064,57.6608,299.47,53,2,3.58,clear sky
512,navoi,UZ,40.0844,65.3792,281.86,57,100,9.26,smoke
513,southbridge,US,42.0751,-72.0334,275.44,94,18,0.89,few clouds
514,kolpashevo,RU,58.3131,82.9089,256.73,83,13,3.0,few clouds
515,acapulco,MX,16.8634,-99.8901,298.55,85,78,1.64,broken clouds
516,kaa-khem,RU,51.6833,94.7333,267.83,82,69,2.37,broken clouds
517,takoradi,GH,4.8845,-1.7554,298.96,80,12,2.19,few clouds
518,dong hoi,VN,17.4833,106.6,300.73,80,32,3.89,scattered clouds
519,agadez,NE,19.75,10.25,289.76,23,78,3.25,broken clouds
520,yarada,IN,17.65,83.2667,303.33,37,4,4.12,haze
521,davila,PH,18.4726,120.5763,305.14,71,0,6.85,clear sky
522,wanaka,NZ,-44.7,169.15,287.98,89,100,1.04,overcast clouds
523,taunsa,PK,30.7048,70.6505,298.47,22,0,1.39,clear sky
524,maues,BR,-3.3836,-57.7186,297.18,80,100,0.98,overcast clouds
525,alofi,NU,-19.0595,-169.9187,298.09,83,9,3.09,clear sky
526,kamalasai,TH,16.3384,103.5756,307.02,99,59,2.11,broken clouds
527,bubaque,GW,11.2833,-15.8333,301.03,71,100,2.93,overcast clouds
528,palaikastron,GR,35.2,26.25,292.82,67,9,5.85,clear sky
529,tual,ID,-5.6667,132.75,302.08,69,100,1.1,overcast clouds
530,port macquarie,AU,-31.4333,152.9167,291.98,56,1,7.17,clear sky
531,chornukhy,UA,50.2673,32.942,273.31,90,100,5.41,overcast clouds
532,isangel,VU,-19.55,169.2667,299.75,78,99,2.45,overcast clouds
533,sambava,MG,-14.2667,50.1667,299.1,73,24,3.32,light rain
534,taft,IR,31.7471,54.2088,291.12,32,75,1.03,broken clouds
535,nome,US,64.5011,-165.4064,273.19,74,100,9.77,overcast clouds
536,pilikwe,BW,-22.799,27.1938,303.22,28,2,2.17,clear sky
537,remiremont,FR,48.0175,6.5882,283.25,87,100,7.71,overcast clouds
538,inzhavino,RU,52.3185,42.4937,271.68,95,100,3.12,overcast clouds
539,khorramshahr,IR,30.4397,48.1664,294.13,83,100,6.17,overcast clouds
540,katsina,NG,12.9894,7.6006,293.7,26,6,5.15,clear sky
541,mityana,UG,0.4175,32.0228,295.38,77,78,0.89,light rain
542,mahanje,TZ,-9.9333,35.3333,300.24,48,25,2.58,scattered clouds
543,biak,ID,-0.9131,122.8766,298.88,87,100,1.19,overcast clouds
544,ihosy,MG,-22.4,46.1167,300.22,54,33,1.32,scattered clouds
545,bosaso,SO,11.2842,49.1816,301.14,65,0,4.12,clear sky
546,edmundston,CA,47.3737,-68.3251,270.78,89,100,4.12,mist
547,holoby,UA,51.0865,25.0077,273.18,82,100,5.97,overcast clouds
548,jose bonifacio,BR,-21.0528,-49.6883,294.74,59,0,4.51,clear sky
549,mount darwin,ZW,-16.7725,31.5838,300.19,44,0,2.07,clear sky
550,makakilo city,US,21.3469,-158.0858,297.33,67,0,3.09,clear sky
551,ahuimanu,US,21.4447,-157.8378,297.99,67,40,3.09,scattered clouds
552,sinnamary,GF,5.3833,-52.95,297.95,87,100,2.72,overcast clouds
553,coria,ES,39.9879,-6.5377,288.96,94,100,6.2,overcast clouds
554,rio grande,BR,-32.035,-52.0986,291.46,68,6,1.71,clear sky
555,lensk,RU,60.7253,114.9278,273.12,98,100,2.04,light snow
556,barceloneta,PR,18.4505,-66.5385,297.73,99,6,2.28,light rain
557,kodinsk,RU,58.6881,99.1844,271.9,85,100,4.05,overcast clouds
558,ardakan,IR,32.31,54.0175,294.39,26,84,2.4,broken clouds
559,sibolga,ID,1.7427,98.7792,299.68,83,100,0.99,overcast clouds
560,kargil,IN,34.5667,76.1,266.24,74,91,0.82,overcast clouds
561,maragogi,BR,-9.0122,-35.2225,297.49,84,100,3.19,overcast clouds
562,beringovskiy,RU,63.05,179.3167,273.22,99,100,0.63,snow
563,rapid valley,US,44.0625,-103.1463,269.88,85,100,11.83,mist
564,sanchor,IN,24.7553,71.7722,304.03,18,0,2.72,clear sky
565,chepen,PE,-7.2167,-79.45,291.59,83,100,2.02,overcast clouds
566,axim,GH,4.8699,-2.2405,298.93,80,14,1.75,few clouds
567,aksu,CN,41.1231,80.2644,282.04,28,0,1.92,clear sky
568,kisac,RS,45.3503,19.7286,283.84,84,98,3.39,overcast clouds
569,fort nelson,CA,58.8053,-122.7002,261.45,87,0,3.6,clear sky
570,kidal,ML,18.4411,1.4078,292.4,20,59,3.99,broken clouds
571,aswan,EG,24.0934,32.907,290.76,42,0,2.57,clear sky
572,yaan,NG,7.3833,8.5667,297.55,72,21,2.17,few clouds
573,chuy,UY,-33.6971,-53.4616,287.71,78,6,1.98,clear sky
574,the valley,AI,18.217,-63.0578,299.87,75,12,7.88,few clouds
575,lamar,US,33.6668,-95.5836,275.57,77,0,0.0,clear sky
576,westport,US,41.1415,-73.3579,277.72,72,0,4.63,clear sky
577,comodoro rivadavia,AR,-45.8667,-67.5,290.07,42,0,5.66,clear sky
578,atikokan,CA,48.7555,-91.6216,266.18,97,100,1.65,overcast clouds
579,aras,ES,42.5617,-2.356,284.68,93,20,2.06,few clouds
580,kyra,RU,49.5776,111.9753,275.58,45,7,1.64,clear sky
581,anyama,CI,5.4946,-4.0518,298.6,86,72,0.61,broken clouds
582,ukiah,US,39.1502,-123.2078,281.69,81,0,1.54,clear sky
583,chandigarh,IN,30.7343,76.7933,296.69,40,0,4.52,clear sky
584,porosozero,RU,62.7191,32.727,272.39,92,96,2.83,overcast clouds
585,haines junction,CA,60.7522,-137.5108,263.12,85,97,0.51,overcast clouds
586,goundam,ML,16.4145,-3.6708,294.64,19,4,4.17,clear sky
587,si satchanalai,TH,17.5169,99.7598,306.03,62,34,1.62,scattered clouds
588,barra do garcas,BR,-15.89,-52.2567,294.79,54,0,1.26,clear sky
589,lata,PT,40.1629,-8.3327,289.3,97,100,2.37,overcast clouds
590,itarema,BR,-2.9248,-39.9167,298.52,76,67,5.38,broken clouds
591,gibsons,CA,49.3997,-123.5027,280.4,67,100,2.87,overcast clouds
592,charters towers,AU,-20.1,146.2667,306.71,16,100,4.53,overcast clouds
593,diamantino,BR,-14.4086,-56.4461,294.38,50,6,1.36,clear sky
594,pangnirtung,CA,66.1451,-65.7125,254.01,84,100,1.37,overcast clouds
595,rabaul,PG,-4.1967,152.1721,302.4,70,100,3.28,overcast clouds
596,inuvik,CA,68.3499,-133.7218,268.63,58,20,1.54,few clouds
597,campbell river,CA,50.0163,-125.2446,276.73,66,100,1.59,overcast clouds
598,gawler,AU,-34.6,138.7333,297.09,41,0,3.72,clear sky
599,rock springs,US,41.5875,-109.2029,269.29,71,0,9.26,clear sky
600,brownwood,US,31.7093,-98.9912,280.77,80,100,1.53,overcast clouds
601,kayunga,UG,0.7025,32.8886,297.01,67,75,0.05,broken clouds
602,batu,ID,-7.87,112.5283,299.41,69,43,0.86,scattered clouds
603,neryungri,RU,56.6709,124.6491,261.17,95,100,1.96,overcast clouds
604,gainesville,US,29.6516,-82.3248,284.27,71,0,3.6,clear sky
605,dunedin,NZ,-45.8742,170.5036,286.37,99,100,1.97,light rain
606,slyudyanka,RU,51.6594,103.7061,277.13,57,30,0.75,scattered clouds
607,lazarevac,RS,44.3853,20.2557,282.06,86,63,2.58,broken clouds
608,meadow lake,US,34.8014,-106.5436,273.21,67,0,1.34,clear sky
609,sungaipenuh,ID,-2.0833,101.3833,296.4,68,100,2.86,overcast clouds
610,kieta,PG,-6.2167,155.6333,301.14,70,96,1.72,overcast clouds
611,hay river,CA,60.8156,-115.7999,259.14,85,40,3.09,scattered clouds
612,orje,NO,59.4802,11.6602,273.91,87,96,4.41,overcast clouds
613,megion,RU,61.0296,76.1136,251.49,87,21,3.06,few clouds
614,arisvi,GR,41.0667,25.5833,289.94,93,74,4.24,broken clouds
615,poum,NC,-20.2333,164.0167,300.09,79,100,1.61,overcast clouds
616,semporna,MY,4.4818,118.6112,303.0,66,100,1.75,overcast clouds
617,abnub,EG,27.2696,31.1511,288.27,38,100,2.51,overcast clouds
618,altona,DE,53.55,9.9333,277.12,80,100,8.75,overcast clouds
619,zaraza,VE,9.3503,-65.3245,294.99,96,95,1.35,overcast clouds
620,houston,US,29.7633,-95.3633,282.57,75,75,4.12,broken clouds
621,san lorenzo,PY,-25.3333,-57.5333,289.67,88,0,0.0,clear sky
622,yulara,AU,-25.2406,130.9889,301.0,40,100,7.23,overcast clouds
623,rancho palos verdes,US,33.7445,-118.387,291.7,24,0,2.24,clear sky
624,ustka,PL,54.5805,16.8619,274.62,74,7,7.39,clear sky
625,carnot,CF,4.9409,15.8665,298.69,51,14,0.88,few clouds
626,nantucket,US,41.2835,-70.0995,281.21,67,40,6.69,scattered clouds
627,nanakuli,US,21.3906,-158.1547,298.12,66,0,2.06,clear sky
628,innisfail,AU,-17.5333,146.0333,301.76,47,6,2.83,clear sky
629,victor harbor,AU,-35.5667,138.6167,290.37,69,0,4.6,clear sky
630,salmas,IR,38.1973,44.7653,282.48,55,17,1.31,few clouds
631,waipawa,NZ,-41.4122,175.5153,286.69,98,100,1.52,light rain
632,coos bay,US,43.3665,-124.2179,280.33,100,0,3.09,clear sky
633,nizwa,OM,22.9333,57.5333,301.92,32,0,2.71,clear sky
634,nola,IT,40.922,14.5329,290.33,93,73,1.4,broken clouds
635,besikduzu,TR,41.052,39.2284,290.09,53,10,1.39,clear sky
636,pori,FI,61.4833,21.7833,271.19,93,100,1.54,overcast clouds
637,tecoanapa,MX,16.5167,-98.75,297.64,83,97,2.2,overcast clouds
638,dali,CN,25.7,100.1833,291.25,27,0,3.63,clear sky
639,beruwala,LK,6.4788,79.9828,302.89,58,4,5.82,clear sky
640,erenhot,CN,43.6475,111.9767,279.55,20,100,3.95,overcast clouds
641,tuy hoa,VN,13.0833,109.3,300.52,83,81,4.13,broken clouds
642,dumas,US,35.8656,-101.9732,271.27,74,0,4.12,clear sky
643,praia da vitoria,PT,38.7333,-27.0667,289.29,67,40,8.81,scattered clouds
644,camacupa,AO,-12.0167,17.4833,294.56,65,92,1.13,overcast clouds
645,ebeltoft,DK,56.1944,10.6821,280.16,65,75,11.32,broken clouds
646,babu,CN,24.4167,111.5167,294.81,82,78,1.66,broken clouds
647,alora,ES,36.8236,-4.7058,291.75,86,44,1.89,scattered clouds
648,miandrivazo,MG,-19.5167,45.4667,302.9,56,30,0.77,scattered clouds
649,eureka,US,40.8021,-124.1637,278.81,63,100,1.51,overcast clouds
650,san buenaventura,MX,27.0833,-101.5333,282.3,62,99,1.7,overcast clouds
651,kavaratti,IN,10.5669,72.642,300.92,69,5,1.46,clear sky
652,broome,US,42.2506,-75.833,274.92,85,100,5.14,overcast clouds
653,burnie,AU,-41.0667,145.9167,288.12,72,20,3.55,few clouds
654,general roca,AR,-39.0333,-67.5833,291.27,51,18,6.21,few clouds
655,praya,CV,14.9215,-23.5087,296.45,83,20,4.12,few clouds
656,ndola,ZM,-12.9587,28.6366,297.64,56,30,2.67,scattered clouds
657,kutum,SD,14.2,24.6667,292.2,25,4,3.84,clear sky
658,kupang,ID,-10.1667,123.5833,305.47,62,75,3.6,broken clouds
659,yinchuan,CN,38.4681,106.2731,285.58,40,100,1.11,overcast clouds
660,sakakah,SA,29.9697,40.2064,289.91,51,100,3.15,light rain
661,santo antonio do ica,BR,-3.1022,-67.9397,295.36,100,100,1.05,overcast clouds
662,semibratovo,RU,57.3046,39.5369,269.07,89,99,4.01,overcast clouds
663,vilyuysk,RU,63.7553,121.6247,254.83,96,100,3.62,overcast clouds
