,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,caledon,ZA,289.3,overcast clouds,-34.23,19.4265,Die Pastorie
186,flinders,AU,292.07,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
189,kuandian,CN,282.67,broken clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
190,naze,JP,293.66,light rain,28.3667,129.4833,Shishime Hotel
191,mogadouro,PT,286.62,overcast clouds,41.3403,-6.7119,Pensão Russo
192,tamworth,GB,281.94,light rain,52.634,-1.6959,Drayton Manor Hotel
193,presidencia roque saenz pena,AR,290.94,clear sky,-26.7852,-60.4388,Hotel Gualok
194,pacific grove,US,286.72,clear sky,36.6177,-121.9166,Lovers Point Inn
195,port hardy,CA,273.25,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
196,pauini,BR,295.08,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
197,berlevag,NO,280.12,overcast clouds,70.8578,29.0864,Kvitbrakka
200,arraial do cabo,BR,294.84,clear sky,-22.9661,-42.0278,Pousada Porto Praia
203,tasiilaq,GL,276.24,light rain,65.6145,-37.6368,The Red House
204,adrar,MR,292.94,clear sky,20.5022,-10.0711,Bredasdorp Country Manor
205,nouadhibou,MR,295.14,clear sky,20.931,-17.0347,El Medina
206,potiskum,NG,295.27,clear sky,11.7091,11.0694,Tamir Hotel Ltd
207,rawson,AR,288.28,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
208,rindal,NO,275.2,clear sky,63.0565,9.2124,Saga Trollheimen Hotel
210,codrington,AU,287.32,few clouds,-38.2667,141.9667,Bredasdorp Country Manor
211,los llanos de aridane,ES,293.22,clear sky,28.6585,-17.9182,Valle Aridane
212,chitral,PK,281.19,clear sky,35.8462,71.7858,PTDC Motel Chitral
213,marawi,PH,295.76,light rain,7.9986,124.2928,Derogongan Residence
215,mount gambier,AU,288.42,broken clouds,-37.8333,140.7667,The Commodore
216,livingston,GB,281.42,light intensity drizzle rain,55.9029,-3.5226,Mercure Livingston Hotel
218,patacamaya,BO,278.35,clear sky,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
219,cabo san lucas,MX,296.77,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
221,pokhara,NP,293.87,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
223,batalha,BR,294.98,few clouds,-9.6778,-37.1247,Pousada Solar do Sertão
225,vestmannaeyjar,IS,281.88,moderate rain,63.4427,-20.2734,Glamping & Camping
227,nikolskoye,RU,274.15,light snow,59.7035,30.7861,Tourist House - Sablino
229,asau,RO,276.66,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
232,ullapool,GB,281.68,overcast clouds,57.8987,-5.1604,Argyll Hotel
235,san quintin,MX,288.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
240,kuleshovka,RU,278.67,overcast clouds,47.078,39.5579,Otel' Versal'
242,nemuro,JP,278.65,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
244,impfondo,CG,296.56,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
246,isla mujeres,MX,297.13,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
250,vilhena,BR,293.62,broken clouds,-12.7406,-60.1458,Hotel Mirage
252,vila franca do campo,PT,289.38,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
254,caravelas,BR,295.15,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
256,juneau,US,276.05,mist,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
257,necochea,AR,286.86,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
258,cayenne,GF,297.17,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
260,batemans bay,AU,289.87,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
263,palatka,US,286.47,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
264,abu kamal,SY,291.66,clear sky,34.4506,40.9171,محطة التلفاز
266,la rochelle,FR,288.19,light rain,46.1667,-1.15,Hotel Henri IV
269,kpandu,GH,296.87,scattered clouds,6.9954,0.2931,Emo House
271,santa isabel do rio negro,BR,295.89,overcast clouds,-0.4139,-65.0192,Hotel GSA
272,atar,MR,295.35,clear sky,20.5169,-13.0499,Oumou Elghoura
273,ixtapa,MX,295.5,clear sky,20.7,-105.2,hotel la terminal
276,viseu,PT,288.63,overcast clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
281,summerside,CA,286.64,overcast clouds,46.3959,-63.7876,Summerside Motel & Cottages
282,kundiawa,PG,293.19,overcast clouds,-6.0167,144.9667,Pari
283,grindavik,IS,282.41,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
284,belmonte,BR,296.47,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
285,sarh,TD,294.1,clear sky,9.1429,18.3923,Caisse Nationale des Prévoyance Sociale
286,gomez palacio,MX,282.52,few clouds,25.5667,-103.5,Comfortable house with excellent location. Come to Gomez
287,plettenberg bay,ZA,291.94,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
289,guerrero negro,MX,289.46,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
294,port lincoln,AU,290.81,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
298,mwinilunga,ZM,294.02,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
301,peniche,PT,291.54,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
302,gat,IL,292.26,broken clouds,31.61,34.7642,OlusHome
303,buchanan,LR,297.06,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
305,anadia,BR,294.17,scattered clouds,-9.6844,-36.3042,Sítio do Vô Bilo
306,olafsvik,IS,280.13,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
307,klaksvik,FO,282.66,broken clouds,62.2266,-6.589,Airbnb rooms
310,fortuna,US,278.66,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
311,ketchikan,US,277.85,clear sky,55.3422,-131.6461,Snow's Cove Lodge
313,saint-lo,FR,283.39,light rain,49.1162,-1.0903,Hôtel Mercure Saint-Lô Centre
314,lasa,IT,278.64,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
316,san jose,US,288.05,clear sky,37.3394,-121.895,The Westin San Jose
317,dronninglund,DK,279.7,overcast clouds,57.1604,10.2929,Dronninglund Hotel
318,guayaquil,EC,296.13,broken clouds,-2.1667,-79.9,HMHotel
320,east london,ZA,292.67,broken clouds,-33.0153,27.9116,Tu Casa
324,jacareacanga,BR,295.49,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
325,lichuan,CN,285.45,overcast clouds,30.3,108.85,Yuanlai Homestay
328,canavieiras,BR,295.96,overcast clouds,-15.675,-38.9472,Bahiadomizil
330,hervey bay,AU,297.05,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
332,vestmanna,FO,281.66,broken clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
334,binzhou,CN,291.95,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
337,lebu,CL,285.94,broken clouds,-37.6167,-73.65,Hostal Las Lilas
338,te horo,NZ,289.71,moderate rain,-40.8084,175.1233,Cottage 103
339,bereslavka,RU,275.58,overcast clouds,48.6254,44.0449,Bredasdorp Country Manor
340,pitimbu,BR,297.48,few clouds,-7.4706,-34.8086,Reserva do Abiaí
341,avera,US,280.88,overcast clouds,33.194,-82.5271,Bredasdorp Country Manor
342,namibe,AO,294.87,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
348,miguel hidalgo,MX,288.39,few clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
349,riyadh,SA,296.23,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
350,pokrovskoye,RU,281.21,light rain,47.4157,38.8971,Тихий уголок
354,laguna,US,284.86,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
357,teacapan,MX,293.81,clear sky,22.55,-105.75,Hotel los Mangos
358,hualmay,PE,290.61,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
359,kiama,AU,292.18,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
361,hemnesberget,NO,275.15,clear sky,66.2333,13.6333,Hemnesberget molo
363,buraydah,SA,294.4,overcast clouds,26.326,43.975,Mövenpick Qassim
366,morganton,US,277.31,clear sky,35.7454,-81.6848,Hampton Inn Morganton
367,saldanha,ZA,292.18,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
368,estelle,US,284.15,few clouds,29.8458,-90.1067,Ohio
369,nouakchott,MR,295.11,broken clouds,18.0858,-15.9785,HOTEL IMAN
370,katsuura,JP,288.41,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
371,lishu,CN,278.52,clear sky,43.3047,124.3278,Su Camp Business Hotel
374,zhanaozen,KZ,280.28,overcast clouds,43.3,52.8,Bredasdorp Country Manor
375,lynchburg,US,277.86,broken clouds,37.4138,-79.1423,Econo Lodge
376,pascagoula,US,281.18,clear sky,30.3658,-88.5561,Regency Inn
377,olinda,BR,297.0,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
381,husavik,IS,280.61,overcast clouds,66.0449,-17.3389,Bjarnabúð
383,celestun,MX,297.46,scattered clouds,20.8667,-90.4,Posada Lilia
386,tamandare,BR,297.44,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
387,yining,CN,290.74,overcast clouds,29.0361,114.5636,Xiushui Hotel
389,bonthe,SL,296.19,broken clouds,7.5264,-12.505,Bonthe Holiday Village
392,hammerfest,NO,276.4,clear sky,70.6634,23.6821,Skytterhuset
395,araouane,ML,292.66,overcast clouds,18.9048,-3.5265,Bredasdorp Country Manor
396,gao,ML,292.52,few clouds,16.6362,1.637,Bredasdorp Country Manor
403,baruun-urt,MN,276.96,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
405,dir,PK,287.4,clear sky,35.2058,71.8756,Ayaz hotal
406,north platte,US,273.77,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
407,balkanabat,TM,289.88,broken clouds,39.5108,54.3671,Nebitchi Hotel
409,cartago,CO,291.99,overcast clouds,4.7464,-75.9117,sammpacale
411,boyuibe,BO,292.76,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
413,digoin,FR,286.2,broken clouds,46.4812,3.9795,Hotel Du Rond Point
415,jackson,US,278.17,clear sky,42.4165,-122.8345,Agate Village Apartments
416,ancud,CL,286.61,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
418,viedma,AR,286.13,clear sky,-40.8135,-62.9967,Hotel Cristal
422,moerai,PF,294.84,broken clouds,-22.4333,-151.3333,Le Manotel
423,nuevo imperial,PE,290.65,overcast clouds,-13.0754,-76.3172,Hotel Konford
424,puerto leguizamo,CO,294.19,overcast clouds,-0.1934,-74.7819,la casona de juancho
425,garden city,US,275.12,overcast clouds,42.3256,-83.331,Big Trees Mobile Home Community
426,saint-georges,GD,297.97,light rain,12.0564,-61.7485,Radisson Grenada Beach Resort
428,ballina,AU,293.58,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
431,esna,EG,293.92,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
433,richards bay,ZA,296.42,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
436,arica,CL,289.28,clear sky,-18.475,-70.3042,Americano
438,omboue,GA,296.79,moderate rain,-1.5746,9.2618,Hotel Olako
439,kikuyu,KE,287.97,light rain,-1.2458,36.6633,Rhodes Place
441,rio claro,BR,288.91,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
442,medina del campo,ES,286.93,overcast clouds,41.3124,-4.9141,Hotel Villa de Ferias
444,esfarayen,IR,285.96,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
445,bouar,CF,297.67,clear sky,5.934,15.596,Motel de l'UNITE
